1.000 0.010
9 81  1.465970 2.222407 
9 82  1.334641 2.850050 
9 83  1.042223 3.975758 
9 84  -0.250248 8.165751 
10 16  -4.186459 3.366954 
10 17  -3.262434 1.625914 
10 18  -2.824059 0.882896 
10 19  -2.529734 0.434175 
10 20  -2.302761 0.122247 
10 21  -2.114395 -0.111724 
10 22  -1.950955 -0.295645 
10 23  -1.804926 -0.444792 
10 24  -1.671760 -0.568374 
10 25  -1.548504 -0.672343 
10 26  -1.433136 -0.760756 
10 27  -1.324215 -0.836494 
10 28  -1.220675 -0.901673 
10 29  -1.121708 -0.957888 
10 30  -1.026686 -1.006370 
10 31  -0.935113 -1.048089 
10 32  -0.846587 -1.083817 
10 33  -0.760783 -1.114181 
10 34  -0.677429 -1.139694 
10 35  -0.596300 -1.160781 
10 36  -0.517205 -1.177795 
10 37  -0.439981 -1.191032 
10 38  -0.364489 -1.200743 
10 39  -0.290610 -1.207139 
10 40  -0.218239 -1.210399 
10 41  -0.147287 -1.210673 
10 42  -0.077674 -1.208091 
10 43  -0.009333 -1.202758 
10 44  0.057797 -1.194765 
10 45  0.123768 -1.184185 
10 46  0.188626 -1.171076 
10 47  0.252410 -1.155483 
10 48  0.315153 -1.137439 
10 49  0.376885 -1.116966 
10 50  0.437629 -1.094072 
10 51  0.497405 -1.068758 
10 52  0.556226 -1.041010 
10 53  0.614105 -1.010805 
10 54  0.671047 -0.978107 
10 55  0.727054 -0.942871 
10 56  0.782123 -0.905035 
10 57  0.836247 -0.864526 
10 58  0.889413 -0.821256 
10 59  0.941603 -0.775117 
10 60  0.992793 -0.725986 
10 61  1.042951 -0.673715 
10 62  1.092039 -0.618132 
10 63  1.140008 -0.559037 
10 64  1.186800 -0.496193 
10 65  1.232342 -0.429324 
10 66  1.276548 -0.358103 
10 67  1.319312 -0.282143 
10 68  1.360506 -0.200980 
10 69  1.399970 -0.114055 
10 70  1.437511 -0.020691 
10 71  1.472883 0.079949 
10 72  1.505780 0.188909 
10 73  1.535807 0.307514 
10 74  1.562448 0.437477 
10 75  1.585016 0.581064 
10 76  1.602567 0.741357 
10 77  1.613769 0.922686 
10 78  1.616654 1.131398 
10 79  1.608165 1.377300 
10 80  1.583208 1.676635 
10 81  1.532445 2.059047 
10 82  1.436114 2.586965 
10 83  1.241132 3.427341 
10 84  0.709537 5.325352 
11 15  -6.038621 6.897970 
11 16  -3.724246 2.359063 
11 17  -3.102506 1.256294 
11 18  -2.738448 0.673741 
11 19  -2.474906 0.293033 
11 20  -2.263933 0.017319 
11 21  -2.085033 -0.194672 
11 22  -1.927684 -0.364063 
11 23  -1.785812 -0.503007 
11 24  -1.655607 -0.619097 
11 25  -1.534529 -0.717370 
11 26  -1.420805 -0.801333 
11 27  -1.313148 -0.873516 
11 28  -1.210596 -0.935803 
11 29  -1.112409 -0.989628 
11 30  -1.018008 -1.036111 
11 31  -0.926932 -1.076139 
11 32  -0.838806 -1.110423 
11 33  -0.753322 -1.139546 
11 34  -0.670225 -1.163984 
11 35  -0.589298 -1.184135 
11 36  -0.510361 -1.200331 
